destination_id,name,category,country,distance_km,estimated_cost_per_day,rating,best_season,population,attractions_count,restaurants_count,activities,highlights
d1,Paris,CULTURAL,France,4708,97.4,5.0,"Apr-May, Sep-Oct",Medium,26,157,"Nightlife, Adventure, Culture","Local Markets, Ancient Ruins, Mountain Views"
d2,Paris - Option 2,CULTURAL,France,5343,91.07,4.9,"Apr-May, Sep-Oct",Large,31,179,"Water Sports, Adventure, Photography","Ancient Ruins, Local Cuisine, Museums"
d3,Paris - Option 3,CULTURAL,France,4673,99.9,5.0,"Apr-May, Sep-Oct",Mega,28,312,"Hiking, Nightlife, Yoga","Street Food, Mountain Views, Natural Beauty"
d4,Rome,HISTORICAL,Italy,5146,84.92,4.9,"Apr-May, Sep-Oct",Large,26,158,"Swimming, Yoga, Mountain Activities","Beach Paradise, Local Markets, Cultural Sites"
d5,Rome - Option 2,HISTORICAL,Italy,4775,78.86,4.7,"Apr-May, Sep-Oct",Mega,27,238,"Adventure, Urban Exploration, Swimming","Cultural Sites, Beach Paradise, Ancient Ruins"
d6,Rome - Option 3,HISTORICAL,Italy,4952,83.37,4.9,"Apr-May, Sep-Oct",Mega,13,446,"History, Hiking, Adventure","Scenic Trails, Modern Architecture, Street Food"
d7,Barcelona,CULTURAL,Spain,5233,76.85,4.7,"May-Jun, Sep-Oct",Large,32,245,"Urban Exploration, Mountain Activities, Culture","Temples, Natural Beauty, Modern Architecture"
d8,Barcelona - Option 2,CULTURAL,Spain,5079,72.59,4.6,"May-Jun, Sep-Oct",Mega,19,458,"Photography, Nightlife, Food","Local Markets, Natural Beauty, Museums"
d9,Barcelona - Option 3,CULTURAL,Spain,5905,76.1,4.7,"May-Jun, Sep-Oct",Small,10,60,"Photography, History, Swimming","Street Food, Temples, Mountain Views"
d10,Prague,CULTURAL,Czech Republic,6552,54.76,4.6,"Apr-May, Sep-Oct",Mega,10,167,"Meditation, Swimming, Yoga","Natural Beauty, Mountain Views, Street Food"
d11,Prague - Option 2,CULTURAL,Czech Republic,6574,51.44,4.7,"Apr-May, Sep-Oct",Large,38,489,"Nightlife, Food, Yoga","Local Cuisine, Modern Architecture, Cultural Sites"
d12,Prague - Option 3,CULTURAL,Czech Republic,5824,45.49,4.7,"Apr-May, Sep-Oct",Large,35,147,"Food, Beach Activities, History","UNESCO Sites, Local Markets, Cultural Sites"
d13,Amsterdam,CULTURAL,Netherlands,4767,85.38,4.6,"Apr-May, Sep-Oct",Mega,16,344,"Meditation, Beach Activities, Yoga","Scenic Trails, Street Food, Art Galleries"
d14,Amsterdam - Option 2,CULTURAL,Netherlands,5625,81.65,4.6,"Apr-May, Sep-Oct",Medium,16,166,"Meditation, Urban Exploration, Adventure","Local Cuisine, Local Markets, Cultural Sites"
d15,Amsterdam - Option 3,CULTURAL,Netherlands,5613,81.37,4.5,"Apr-May, Sep-Oct",Medium,32,346,"Photography, Adventure, Swimming","Museums, Temples, Ancient Ruins"
d16,Berlin,HISTORICAL,Germany,5667,66.6,4.6,"Apr-May, Sep-Oct",Medium,24,457,"Hiking, Mountain Activities, Shopping","Ancient Ruins, Scenic Trails, Museums"
d17,Berlin - Option 2,HISTORICAL,Germany,5981,71.48,4.5,"Apr-May, Sep-Oct",Medium,20,129,"Water Sports, Hiking, Photography","Art Galleries, Local Cuisine, Temples"
d18,Berlin - Option 3,HISTORICAL,Germany,5375,66.49,4.6,"Apr-May, Sep-Oct",Medium,12,341,"Adventure, Yoga, Shopping","Beach Paradise, Ancient Ruins, Scenic Trails"
d19,Vienna,CULTURAL,Austria,6412,73.53,4.8,Apr-Oct,Mega,24,279,"Adventure, Hiking, Water Sports","Beach Paradise, Natural Beauty, Museums"
d20,Vienna - Option 2,CULTURAL,Austria,6028,72.31,4.7,Apr-Oct,Medium,24,63,"Yoga, Beach Activities, Nightlife","Temples, Modern Architecture, Street Food"
d21,Vienna - Option 3,CULTURAL,Austria,6078,74.25,4.6,Apr-Oct,Large,33,189,"Photography, Meditation, Beach Activities","UNESCO Sites, Ancient Ruins, Museums"
d22,Barcelona Beach,BEACH,Spain,5478,86.27,4.5,May-Oct,Mega,27,194,"Urban Exploration, Mountain Activities, Hiking","Local Markets, Modern Architecture, Scenic Trails"
d23,Barcelona Beach - Option 2,BEACH,Spain,5366,87.25,4.4,May-Oct,Medium,26,321,"Swimming, Water Sports, History","Beach Paradise, Museums, Modern Architecture"
d24,Barcelona Beach - Option 3,BEACH,Spain,5089,80.2,4.5,May-Oct,Medium,27,197,"Meditation, History, Water Sports","Local Markets, Art Galleries, UNESCO Sites"
d25,Venice,CULTURAL,Italy,4951,90.62,4.9,"Apr-May, Sep-Oct",Large,38,346,"Yoga, Shopping, Adventure","Scenic Trails, Local Markets, Art Galleries"
d26,Venice - Option 2,CULTURAL,Italy,5029,86.86,4.8,"Apr-May, Sep-Oct",Medium,30,158,"Photography, Mountain Activities, Shopping","Street Food, Temples, Mountain Views"
d27,Venice - Option 3,CULTURAL,Italy,5403,94.12,4.8,"Apr-May, Sep-Oct",Large,10,310,"Urban Exploration, Water Sports, Swimming","Street Food, Modern Architecture, Local Markets"
d28,Athens,HISTORICAL,Greece,5278,64.68,4.7,"Apr-May, Sep-Oct",Mega,35,310,"Food, Mountain Activities, Meditation","Mountain Views, Temples, Art Galleries"
d29,Athens - Option 2,HISTORICAL,Greece,5107,65.6,4.7,"Apr-May, Sep-Oct",Mega,18,360,"Swimming, History, Adventure","Temples, Local Cuisine, Cultural Sites"
d30,Athens - Option 3,HISTORICAL,Greece,4399,65.24,4.7,"Apr-May, Sep-Oct",Mega,16,184,"Mountain Activities, Meditation, Nightlife","Museums, Scenic Trails, Local Markets"
d31,Tokyo,URBAN,Japan,8650,101.84,4.6,"Mar-May, Sep-Nov",Medium,22,494,"Shopping, Yoga, Meditation","Art Galleries, UNESCO Sites, Modern Architecture"
d32,Tokyo - Option 2,URBAN,Japan,8735,98.26,4.6,"Mar-May, Sep-Nov",Mega,26,145,"Urban Exploration, Photography, Swimming","Natural Beauty, Local Markets, Temples"
d33,Tokyo - Option 3,URBAN,Japan,8643,100.96,4.6,"Mar-May, Sep-Nov",Medium,23,430,"Beach Activities, Meditation, Nightlife","Art Galleries, Modern Architecture, Local Markets"
d34,Bangkok,URBAN,Thailand,3192,46.09,4.5,Nov-Feb,Small,18,219,"Nightlife, Adventure, Culture","Temples, Ancient Ruins, Beach Paradise"
d35,Bangkok - Option 2,URBAN,Thailand,3221,45.67,4.6,Nov-Feb,Medium,36,286,"Yoga, Meditation, Nightlife","Mountain Views, Art Galleries, Street Food"
d36,Bangkok - Option 3,URBAN,Thailand,3097,45.89,4.5,Nov-Feb,Mega,18,424,"Food, Yoga, Meditation","Modern Architecture, Art Galleries, Street Food"
d37,Singapore,URBAN,Singapore,7856,92.32,4.5,"Feb-Apr, Sep-Nov",Medium,12,259,"Adventure, Shopping, Meditation","Scenic Trails, Ancient Ruins, Natural Beauty"
d38,Singapore - Option 2,URBAN,Singapore,8077,91.59,4.5,"Feb-Apr, Sep-Nov",Large,25,216,"Hiking, Mountain Activities, Culture","Scenic Trails, Modern Architecture, Cultural Sites"
d39,Singapore - Option 3,URBAN,Singapore,7878,90.4,4.5,"Feb-Apr, Sep-Nov",Large,37,360,"Swimming, Urban Exploration, Beach Activities","Street Food, Mountain Views, UNESCO Sites"
d40,Hong Kong,URBAN,China,7866,96.43,4.6,"Oct-Dec, Mar-May",Mega,37,405,"Beach Activities, Adventure, Hiking","Mountain Views, Street Food, Beach Paradise"
d41,Hong Kong - Option 2,URBAN,China,7749,93.61,4.7,"Oct-Dec, Mar-May",Small,13,461,"Urban Exploration, Meditation, Food","UNESCO Sites, Beach Paradise, Cultural Sites"
d42,Hong Kong - Option 3,URBAN,China,7796,93.03,4.8,"Oct-Dec, Mar-May",Large,39,181,"Yoga, Urban Exploration, Swimming","Museums, UNESCO Sites, Mountain Views"
d43,Bali,BEACH,Indonesia,7617,58.62,4.8,Apr-Oct,Medium,39,94,"Water Sports, Adventure, Shopping","Cultural Sites, Modern Architecture, Art Galleries"
d44,Bali - Option 2,BEACH,Indonesia,8285,58.41,4.6,Apr-Oct,Mega,25,127,"Swimming, Food, Meditation","Modern Architecture, Local Markets, Natural Beauty"
d45,Bali - Option 3,BEACH,Indonesia,8404,64.74,4.7,Apr-Oct,Mega,23,56,"History, Adventure, Shopping","Art Galleries, Cultural Sites, Local Markets"
d46,Phuket,BEACH,Thailand,3212,45.54,4.4,Nov-Feb,Large,23,165,"Food, Swimming, Shopping","Temples, Street Food, Cultural Sites"
d47,Phuket - Option 2,BEACH,Thailand,3091,46.77,4.4,Nov-Feb,Small,16,324,"Water Sports, Beach Activities, Meditation","Temples, UNESCO Sites, Ancient Ruins"
d48,Phuket - Option 3,BEACH,Thailand,3608,52.8,4.5,Nov-Feb,Medium,26,232,"Hiking, Photography, Shopping","Ancient Ruins, Local Markets, Mountain Views"
d49,Chiang Mai,CULTURAL,Thailand,2710,44.46,4.6,Nov-Feb,Mega,13,332,"Food, History, Culture","Ancient Ruins, Art Galleries, Museums"
d50,Chiang Mai - Option 2,CULTURAL,Thailand,3332,38.73,4.6,Nov-Feb,Small,23,405,"Culture, History, Shopping","Modern Architecture, Ancient Ruins, Local Markets"
d51,Chiang Mai - Option 3,CULTURAL,Thailand,2887,37.97,4.5,Nov-Feb,Mega,12,128,"Shopping, Yoga, Meditation","Street Food, Local Cuisine, Beach Paradise"
d52,Hanoi,CULTURAL,Vietnam,2093,31.33,4.4,Oct-Apr,Large,23,295,"Yoga, Beach Activities, Urban Exploration","Modern Architecture, Mountain Views, Natural Beauty"
d53,Hanoi - Option 2,CULTURAL,Vietnam,2483,33.52,4.4,Oct-Apr,Large,12,103,"Water Sports, Culture, Food","Scenic Trails, Cultural Sites, UNESCO Sites"
d54,Hanoi - Option 3,CULTURAL,Vietnam,2491,33.46,4.5,Oct-Apr,Large,11,92,"Culture, Urban Exploration, Yoga","Street Food, Art Galleries, Ancient Ruins"
d55,Ho Chi Minh City,URBAN,Vietnam,2406,42.52,4.3,Nov-Apr,Medium,27,404,"Food, Adventure, Urban Exploration","Natural Beauty, Temples, Modern Architecture"
d56,Ho Chi Minh City - Option 2,URBAN,Vietnam,2882,39.0,4.5,Nov-Apr,Large,26,497,"Shopping, Swimming, Meditation","Ancient Ruins, Museums, Mountain Views"
d57,Ho Chi Minh City - Option 3,URBAN,Vietnam,3074,41.0,4.3,Nov-Apr,Medium,14,127,"Food, Beach Activities, Photography","Scenic Trails, Beach Paradise, Mountain Views"
d58,Seoul,URBAN,South Korea,6664,77.51,4.7,"Oct-Nov, Mar-May",Small,15,87,"Shopping, Yoga, Food","Mountain Views, Art Galleries, Temples"
d59,Seoul - Option 2,URBAN,South Korea,7125,77.53,4.7,"Oct-Nov, Mar-May",Large,15,217,"Mountain Activities, Nightlife, Shopping","Natural Beauty, Temples, UNESCO Sites"
d60,Seoul - Option 3,URBAN,South Korea,7151,75.89,4.8,"Oct-Nov, Mar-May",Medium,38,87,"Hiking, Adventure, Swimming","Mountain Views, Ancient Ruins, Scenic Trails"
d61,Dubai,URBAN,UAE,7489,118.94,4.7,Nov-Mar,Medium,30,248,"Food, Nightlife, Water Sports","Local Cuisine, UNESCO Sites, Cultural Sites"
d62,Dubai - Option 2,URBAN,UAE,7521,124.46,4.5,Nov-Mar,Mega,38,440,"Mountain Activities, Culture, Yoga","UNESCO Sites, Scenic Trails, Beach Paradise"
d63,Dubai - Option 3,URBAN,UAE,7513,121.56,4.6,Nov-Mar,Mega,16,347,"Mountain Activities, Adventure, Photography","UNESCO Sites, Local Markets, Temples"
d64,Marrakech,CULTURAL,Morocco,1779,50.87,4.6,Oct-Apr,Small,29,78,"History, Swimming, Beach Activities","Cultural Sites, Temples, Scenic Trails"
d65,Marrakech - Option 2,CULTURAL,Morocco,1917,48.43,4.6,Oct-Apr,Mega,36,100,"Food, Adventure, Shopping","Ancient Ruins, Scenic Trails, Temples"
d66,Marrakech - Option 3,CULTURAL,Morocco,2298,54.99,4.6,Oct-Apr,Large,28,78,"Water Sports, Food, Nightlife","Beach Paradise, Local Cuisine, Museums"
d67,Cairo,HISTORICAL,Egypt,1850,46.06,4.5,Oct-Apr,Medium,12,344,"Shopping, Beach Activities, Meditation","Modern Architecture, Natural Beauty, Museums"
d68,Cairo - Option 2,HISTORICAL,Egypt,1799,46.98,4.5,Oct-Apr,Small,18,289,"Mountain Activities, Water Sports, Swimming","Scenic Trails, UNESCO Sites, Modern Architecture"
d69,Cairo - Option 3,HISTORICAL,Egypt,1426,47.82,4.5,Oct-Apr,Small,29,141,"Adventure, Mountain Activities, Water Sports","Modern Architecture, Beach Paradise, Local Markets"
d70,Delhi,CULTURAL,India,1643,44.82,4.6,Oct-Mar,Mega,19,365,"Hiking, Yoga, Beach Activities","UNESCO Sites, Cultural Sites, Modern Architecture"
d71,Delhi - Option 2,CULTURAL,India,1043,40.14,4.4,Oct-Mar,Mega,34,336,"Yoga, History, Food","Local Cuisine, Ancient Ruins, Beach Paradise"
d72,Delhi - Option 3,CULTURAL,India,1308,43.99,4.5,Oct-Mar,Large,13,442,"Yoga, Adventure, Culture","Cultural Sites, Local Markets, Street Food"
d73,Jaipur,CULTURAL,India,1100,37.0,4.6,Oct-Mar,Medium,39,487,"Yoga, Food, Urban Exploration","Art Galleries, Temples, Local Markets"
d74,Jaipur - Option 2,CULTURAL,India,1282,35.97,4.5,Oct-Mar,Medium,16,185,"Meditation, Beach Activities, Adventure","Temples, Scenic Trails, Art Galleries"
d75,Jaipur - Option 3,CULTURAL,India,1746,35.21,4.6,Oct-Mar,Small,18,432,"Mountain Activities, Food, Nightlife","Beach Paradise, Modern Architecture, Temples"
d76,Mumbai,URBAN,India,2312,43.22,4.5,Oct-Mar,Large,23,173,"History, Yoga, Adventure","Mountain Views, Cultural Sites, Temples"
d77,Mumbai - Option 2,URBAN,India,2083,47.93,4.3,Oct-Mar,Medium,30,274,"Meditation, Swimming, Adventure","Modern Architecture, Street Food, Mountain Views"
d78,Mumbai - Option 3,URBAN,India,1599,46.13,4.4,Oct-Mar,Medium,39,374,"Beach Activities, Urban Exploration, Water Sports","Modern Architecture, Scenic Trails, Local Cuisine"
d79,New York,URBAN,USA,5340,178.83,4.9,Apr-Oct,Medium,38,342,"Adventure, Nightlife, History","UNESCO Sites, Modern Architecture, Local Cuisine"
d80,New York - Option 2,URBAN,USA,5155,181.93,4.7,Apr-Oct,Large,18,71,"Meditation, Food, Culture","UNESCO Sites, Scenic Trails, Mountain Views"
d81,New York - Option 3,URBAN,USA,5265,184.67,4.8,Apr-Oct,Medium,25,231,"Photography, Water Sports, Yoga","Street Food, Beach Paradise, Local Markets"
d82,Los Angeles,BEACH,USA,5240,151.03,4.6,year-round,Mega,17,449,"Water Sports, Yoga, Nightlife","Modern Architecture, Mountain Views, Scenic Trails"
d83,Los Angeles - Option 2,BEACH,USA,5073,152.79,4.6,year-round,Mega,30,154,"Photography, Hiking, Meditation","Mountain Views, Street Food, Modern Architecture"
d84,Los Angeles - Option 3,BEACH,USA,5568,146.83,4.5,year-round,Mega,31,122,"Adventure, Meditation, Water Sports","Scenic Trails, Cultural Sites, Ancient Ruins"
d85,San Francisco,URBAN,USA,5584,162.65,4.7,May-Sep,Small,15,63,"Nightlife, Mountain Activities, Food","Street Food, Mountain Views, Local Cuisine"
d86,San Francisco - Option 2,URBAN,USA,6265,163.56,4.7,May-Sep,Medium,32,245,"Beach Activities, Urban Exploration, Water Sports","Local Markets, Ancient Ruins, Museums"
d87,San Francisco - Option 3,URBAN,USA,6015,158.8,4.6,May-Sep,Small,14,484,"Nightlife, Urban Exploration, Food","Natural Beauty, UNESCO Sites, Temples"
d88,Las Vegas,ENTERTAINMENT,USA,4439,132.96,4.5,Oct-Apr,Medium,25,275,"Hiking, Beach Activities, Food","Local Cuisine, Beach Paradise, Ancient Ruins"
d89,Las Vegas - Option 2,ENTERTAINMENT,USA,4719,129.32,4.6,Oct-Apr,Large,17,348,"Food, Mountain Activities, Photography","Temples, Local Markets, Local Cuisine"
d90,Las Vegas - Option 3,ENTERTAINMENT,USA,4064,133.83,4.4,Oct-Apr,Large,18,242,"Meditation, Nightlife, Hiking","Mountain Views, Street Food, Beach Paradise"
d91,Mexico City,CULTURAL,Mexico,2265,51.8,4.5,Oct-Apr,Mega,40,124,"Food, Culture, Urban Exploration","Modern Architecture, Mountain Views, Natural Beauty"
d92,Mexico City - Option 2,CULTURAL,Mexico,1824,49.59,4.5,Oct-Apr,Mega,35,475,"Yoga, Nightlife, Swimming","Cultural Sites, Beach Paradise, Temples"
d93,Mexico City - Option 3,CULTURAL,Mexico,1569,52.95,4.6,Oct-Apr,Small,18,143,"Beach Activities, Culture, Nightlife","Museums, Mountain Views, Street Food"
d94,Cancun,BEACH,Mexico,1995,81.96,4.4,Dec-Apr,Large,36,165,"Shopping, Meditation, Culture","Modern Architecture, Art Galleries, Ancient Ruins"
d95,Cancun - Option 2,BEACH,Mexico,2073,82.46,4.5,Dec-Apr,Mega,16,470,"Swimming, Meditation, Nightlife","Local Cuisine, Ancient Ruins, Street Food"
d96,Cancun - Option 3,BEACH,Mexico,2174,78.23,4.5,Dec-Apr,Small,39,273,"Yoga, Meditation, Hiking","Museums, Scenic Trails, Beach Paradise"
d97,Rio de Janeiro,BEACH,Brazil,6031,74.79,4.7,Dec-Mar,Mega,10,425,"Shopping, Photography, Meditation","Ancient Ruins, Mountain Views, Local Markets"
d98,Rio de Janeiro - Option 2,BEACH,Brazil,5595,72.89,4.6,Dec-Mar,Mega,16,152,"Culture, Mountain Activities, Photography","Scenic Trails, Cultural Sites, Beach Paradise"
d99,Rio de Janeiro - Option 3,BEACH,Brazil,6294,73.04,4.6,Dec-Mar,Mega,12,282,"Photography, Nightlife, History","Ancient Ruins, Museums, Mountain Views"
d100,Buenos Aires,CULTURAL,Argentina,3933,58.1,4.6,Apr-Oct,Large,27,486,"Mountain Activities, Adventure, Culture","Local Markets, Beach Paradise, Temples"
d101,Buenos Aires - Option 2,CULTURAL,Argentina,3789,58.45,4.7,Apr-Oct,Medium,24,114,"Shopping, Swimming, Yoga","Modern Architecture, Art Galleries, Museums"
d102,Buenos Aires - Option 3,CULTURAL,Argentina,3757,56.0,4.7,Apr-Oct,Small,29,95,"Urban Exploration, Yoga, Swimming","Art Galleries, Mountain Views, Street Food"
d103,Lima,CULTURAL,Peru,2960,59.53,4.5,May-Sep,Small,29,336,"Meditation, Nightlife, Beach Activities","Temples, UNESCO Sites, Local Cuisine"
d104,Lima - Option 2,CULTURAL,Peru,2854,51.37,4.6,May-Sep,Small,33,219,"Meditation, Hiking, Swimming","Mountain Views, Ancient Ruins, Local Markets"
d105,Lima - Option 3,CULTURAL,Peru,2344,50.09,4.6,May-Sep,Small,12,404,"Food, Culture, Meditation","Scenic Trails, Natural Beauty, Temples"
d106,Machu Picchu,ADVENTURE,Peru,3457,90.59,4.9,May-Oct,Medium,32,180,"Mountain Activities, Culture, Adventure","Scenic Trails, Modern Architecture, Museums"
d107,Machu Picchu - Option 2,ADVENTURE,Peru,3419,94.11,4.8,May-Oct,Small,23,251,"Photography, Culture, Adventure","Natural Beauty, UNESCO Sites, Cultural Sites"
d108,Machu Picchu - Option 3,ADVENTURE,Peru,3094,86.43,4.8,May-Oct,Mega,14,70,"Adventure, Culture, Food","Ancient Ruins, Natural Beauty, Local Cuisine"
d109,Swiss Alps,MOUNTAIN,Switzerland,5688,154.31,4.8,Jun-Sep,Large,33,427,"Meditation, Photography, Urban Exploration","Temples, Art Galleries, Museums"
d110,Swiss Alps - Option 2,MOUNTAIN,Switzerland,5578,145.53,4.8,Jun-Sep,Medium,31,376,"Nightlife, History, Food","Scenic Trails, Temples, Natural Beauty"
d111,Swiss Alps - Option 3,MOUNTAIN,Switzerland,5903,150.53,4.8,Jun-Sep,Medium,34,266,"Swimming, History, Adventure","Museums, Local Markets, Cultural Sites"
d112,Bali Volcanoes,ADVENTURE,Indonesia,7881,66.19,4.6,Apr-Oct,Large,24,417,"Adventure, Meditation, Swimming","UNESCO Sites, Art Galleries, Local Markets"
d113,Bali Volcanoes - Option 2,ADVENTURE,Indonesia,8391,65.36,4.6,Apr-Oct,Large,22,490,"Meditation, Water Sports, Mountain Activities","Scenic Trails, Temples, Local Cuisine"
d114,Bali Volcanoes - Option 3,ADVENTURE,Indonesia,7638,63.47,4.7,Apr-Oct,Small,36,70,"Meditation, Culture, Beach Activities","Art Galleries, UNESCO Sites, Local Cuisine"
d115,Iceland,ADVENTURE,Iceland,6229,112.27,4.8,Jun-Aug,Medium,34,219,"Culture, Nightlife, History","Local Markets, Museums, Art Galleries"
d116,Iceland - Option 2,ADVENTURE,Iceland,5478,109.64,4.7,Jun-Aug,Small,36,470,"Culture, History, Swimming","Street Food, Temples, Beach Paradise"
d117,Iceland - Option 3,ADVENTURE,Iceland,5320,109.47,4.7,Jun-Aug,Small,27,356,"Swimming, Photography, Meditation","Local Cuisine, Ancient Ruins, Local Markets"
d118,New Zealand,ADVENTURE,New Zealand,11981,97.4,4.7,Dec-Feb,Small,40,409,"Photography, Beach Activities, Water Sports","Scenic Trails, Modern Architecture, Natural Beauty"
d119,New Zealand - Option 2,ADVENTURE,New Zealand,11787,103.09,4.8,Dec-Feb,Small,39,156,"Urban Exploration, Yoga, Water Sports","Beach Paradise, Art Galleries, Modern Architecture"
d120,New Zealand - Option 3,ADVENTURE,New Zealand,12160,97.21,4.8,Dec-Feb,Medium,30,306,"Beach Activities, Yoga, Swimming","Temples, Modern Architecture, Street Food"
d121,Banff National Park,ADVENTURE,Canada,5912,86.93,4.7,Jun-Sep,Large,14,241,"Meditation, Mountain Activities, Photography","Temples, Ancient Ruins, Mountain Views"
d122,Banff National Park - Option 2,ADVENTURE,Canada,5503,89.3,4.8,Jun-Sep,Small,13,421,"Culture, Shopping, Water Sports","Local Cuisine, Temples, UNESCO Sites"
d123,Banff National Park - Option 3,ADVENTURE,Canada,5622,86.38,4.9,Jun-Sep,Small,27,453,"Beach Activities, Meditation, Adventure","Natural Beauty, Beach Paradise, Museums"
d124,Nepal Trekking,ADVENTURE,Nepal,6752,41.46,4.4,"Oct-Nov, Mar-Apr",Large,10,205,"Hiking, Meditation, Shopping","Modern Architecture, Scenic Trails, Natural Beauty"
d125,Nepal Trekking - Option 2,ADVENTURE,Nepal,7022,43.92,4.4,"Oct-Nov, Mar-Apr",Large,21,429,"Meditation, Food, Mountain Activities","Temples, Cultural Sites, Mountain Views"
d126,Nepal Trekking - Option 3,ADVENTURE,Nepal,6782,41.57,4.4,"Oct-Nov, Mar-Apr",Small,39,400,"Hiking, Water Sports, Nightlife","Cultural Sites, Street Food, Local Markets"
d127,Maldives,BEACH,Maldives,8781,119.16,4.8,Nov-Mar,Mega,28,311,"History, Beach Activities, Meditation","Beach Paradise, Local Cuisine, Scenic Trails"
d128,Maldives - Option 2,BEACH,Maldives,8214,120.52,4.8,Nov-Mar,Small,33,220,"Culture, Beach Activities, Meditation","Temples, UNESCO Sites, Natural Beauty"
d129,Maldives - Option 3,BEACH,Maldives,8893,124.09,4.8,Nov-Mar,Small,33,56,"Hiking, Urban Exploration, Swimming","Temples, Scenic Trails, Museums"
d130,Fiji,BEACH,Fiji,10441,104.16,4.7,May-Oct,Mega,30,101,"Nightlife, Culture, Yoga","Modern Architecture, Temples, Local Markets"
d131,Fiji - Option 2,BEACH,Fiji,10317,96.84,4.6,May-Oct,Medium,11,258,"History, Swimming, Nightlife","Cultural Sites, Mountain Views, Scenic Trails"
d132,Fiji - Option 3,BEACH,Fiji,10425,100.26,4.8,May-Oct,Medium,23,75,"Urban Exploration, Nightlife, Adventure","UNESCO Sites, Temples, Street Food"
d133,Caribbean Islands,BEACH,Caribbean,6058,150.64,4.6,Dec-Apr,Small,19,262,"Adventure, Shopping, Urban Exploration","Ancient Ruins, Local Markets, Local Cuisine"
d134,Caribbean Islands - Option 2,BEACH,Caribbean,6055,148.15,4.7,Dec-Apr,Medium,18,150,"Nightlife, Water Sports, Hiking","Natural Beauty, Beach Paradise, Street Food"
d135,Caribbean Islands - Option 3,BEACH,Caribbean,6245,152.54,4.7,Dec-Apr,Large,36,63,"Food, Hiking, Shopping","Scenic Trails, UNESCO Sites, Cultural Sites"
d136,Niagara Falls,NATURE,Canada,4372,79.93,4.7,May-Oct,Medium,29,367,"Shopping, Yoga, Water Sports","Mountain Views, Temples, Art Galleries"
d137,Niagara Falls - Option 2,NATURE,Canada,3696,76.87,4.7,May-Oct,Mega,40,244,"Adventure, Meditation, Food","Mountain Views, Scenic Trails, Museums"
d138,Niagara Falls - Option 3,NATURE,Canada,4433,77.75,4.7,May-Oct,Medium,28,148,"Water Sports, Culture, Urban Exploration","Museums, Beach Paradise, Cultural Sites"
